cores,exTime,gflops
115,3.132529,,638.461698
115,3.138235,,637.300892
116,3.154002,,634.114933
116,3.245568,,616.225026
116,3.087501,,647.773111
117,3.157348,,633.443060
117,3.178529,,629.221968
117,3.181924,,628.550545
118,3.210836,,622.890805
118,3.191236,,626.716358
118,2.814425,,710.624738
119,3.229290,,619.331207
119,3.223955,,620.356126
119,3.238089,,617.648268
120,2.733058,,731.780940
120,3.202669,,624.479085
120,3.211580,,622.746375
121,3.245813,,616.178400
121,3.233636,,618.498762
121,3.212890,,622.492558
122,3.212741,,622.521341
122,3.227719,,619.632681
122,3.203539,,624.309460
123,2.918874,,685.195810
123,3.267186,,612.147584
123,3.303841,,605.355972
124,3.280499,,609.663315
124,3.280197,,609.719389
124,3.290116,,607.881272
